  Target test, epoch: 00001, sec: 6, loss: 2.30867, accuracy: 1014/10000, precision: 10.14000
  Target test, epoch: 00002, sec: 6, loss: 0.84346, accuracy: 7667/10000, precision: 76.67000
  Target test, epoch: 00003, sec: 6, loss: 1.75062, accuracy: 7125/10000, precision: 71.25000
  Target test, epoch: 00004, sec: 6, loss: 2.42276, accuracy: 7048/10000, precision: 70.48000
  Target test, epoch: 00005, sec: 6, loss: 2.72809, accuracy: 7498/10000, precision: 74.98000
  Target test, epoch: 00006, sec: 6, loss: 2.13000, accuracy: 7742/10000, precision: 77.42000
  Target test, epoch: 00007, sec: 6, loss: 2.09266, accuracy: 7635/10000, precision: 76.35000
  Target test, epoch: 00008, sec: 6, loss: 2.30196, accuracy: 7679/10000, precision: 76.79000
  Target test, epoch: 00009, sec: 6, loss: 2.51687, accuracy: 7812/10000, precision: 78.12000
  Target test, epoch: 00010, sec: 6, loss: 1.72734, accuracy: 8236/10000, precision: 82.36000
  Target test, epoch: 00011, sec: 6, loss: 1.77532, accuracy: 7954/10000, precision: 79.54000
  Target test, epoch: 00012, sec: 5, loss: 1.81057, accuracy: 7949/10000, precision: 79.49000
  Target test, epoch: 00013, sec: 6, loss: 1.71071, accuracy: 8092/10000, precision: 80.92000
  Target test, epoch: 00014, sec: 6, loss: 1.55036, accuracy: 8057/10000, precision: 80.57000
  Target test, epoch: 00015, sec: 6, loss: 1.57064, accuracy: 8076/10000, precision: 80.76000
  Target test, epoch: 00016, sec: 6, loss: 2.03622, accuracy: 8116/10000, precision: 81.16000
  Target test, epoch: 00017, sec: 6, loss: 1.59400, accuracy: 7984/10000, precision: 79.84000
  Target test, epoch: 00018, sec: 4, loss: 1.58094, accuracy: 7955/10000, precision: 79.55000
  Target test, epoch: 00019, sec: 6, loss: 1.61598, accuracy: 7996/10000, precision: 79.96000
  Target test, epoch: 00020, sec: 6, loss: 1.70202, accuracy: 8173/10000, precision: 81.73000
  Target test, epoch: 00021, sec: 6, loss: 1.39783, accuracy: 8164/10000, precision: 81.64000
  Target test, epoch: 00022, sec: 6, loss: 1.85273, accuracy: 8043/10000, precision: 80.43000
  Target test, epoch: 00023, sec: 6, loss: 1.70362, accuracy: 7977/10000, precision: 79.77000
  Target test, epoch: 00024, sec: 6, loss: 1.68615, accuracy: 7914/10000, precision: 79.14000
  Target test, epoch: 00025, sec: 6, loss: 1.44270, accuracy: 8001/10000, precision: 80.01000
  Target test, epoch: 00026, sec: 6, loss: 1.49397, accuracy: 7977/10000, precision: 79.77000
  Target test, epoch: 00027, sec: 6, loss: 1.47960, accuracy: 8103/10000, precision: 81.03000
  Target test, epoch: 00028, sec: 6, loss: 1.51871, accuracy: 8041/10000, precision: 80.41000
  Target test, epoch: 00029, sec: 6, loss: 1.43912, accuracy: 8061/10000, precision: 80.61000
  Target test, epoch: 00030, sec: 6, loss: 1.45364, accuracy: 8003/10000, precision: 80.03000
  Target test, epoch: 00031, sec: 6, loss: 1.56244, accuracy: 8071/10000, precision: 80.71000
  Target test, epoch: 00032, sec: 6, loss: 1.84902, accuracy: 8133/10000, precision: 81.33000
  Target test, epoch: 00033, sec: 6, loss: 1.75734, accuracy: 8152/10000, precision: 81.52000
  Target test, epoch: 00034, sec: 6, loss: 1.71655, accuracy: 8228/10000, precision: 82.28000
  Target test, epoch: 00035, sec: 6, loss: 1.63669, accuracy: 8213/10000, precision: 82.13000
  Target test, epoch: 00036, sec: 6, loss: 1.59134, accuracy: 8137/10000, precision: 81.37000
  Target test, epoch: 00037, sec: 6, loss: 1.64695, accuracy: 8093/10000, precision: 80.93000
  Target test, epoch: 00038, sec: 6, loss: 1.50984, accuracy: 8109/10000, precision: 81.09000
  Target test, epoch: 00039, sec: 6, loss: 1.63296, accuracy: 8052/10000, precision: 80.52000
  Target test, epoch: 00040, sec: 6, loss: 1.56851, accuracy: 8032/10000, precision: 80.32000
  Target test, epoch: 00041, sec: 6, loss: 1.47124, accuracy: 8047/10000, precision: 80.47000
  Target test, epoch: 00042, sec: 6, loss: 1.27378, accuracy: 8118/10000, precision: 81.18000
  Target test, epoch: 00043, sec: 6, loss: 1.33589, accuracy: 8146/10000, precision: 81.46000
  Target test, epoch: 00044, sec: 6, loss: 1.33812, accuracy: 8192/10000, precision: 81.92000
  Target test, epoch: 00045, sec: 6, loss: 1.42080, accuracy: 8161/10000, precision: 81.61000
  Target test, epoch: 00046, sec: 4, loss: 1.47220, accuracy: 8191/10000, precision: 81.91000
  Target test, epoch: 00047, sec: 4, loss: 1.47069, accuracy: 8190/10000, precision: 81.90000
  Target test, epoch: 00048, sec: 5, loss: 1.48327, accuracy: 8202/10000, precision: 82.02000
  Target test, epoch: 00049, sec: 4, loss: 1.50636, accuracy: 8186/10000, precision: 81.86000
  Target test, epoch: 00050, sec: 4, loss: 1.55084, accuracy: 8184/10000, precision: 81.84000
  Target test, epoch: 00051, sec: 6, loss: 1.57665, accuracy: 8199/10000, precision: 81.99000
  Target test, epoch: 00052, sec: 6, loss: 1.59831, accuracy: 8194/10000, precision: 81.94000
  Target test, epoch: 00053, sec: 6, loss: 1.60327, accuracy: 8198/10000, precision: 81.98000
  Target test, epoch: 00054, sec: 6, loss: 1.61638, accuracy: 8214/10000, precision: 82.14000
  Target test, epoch: 00055, sec: 6, loss: 1.62646, accuracy: 8213/10000, precision: 82.13000
  Target test, epoch: 00056, sec: 6, loss: 1.62036, accuracy: 8211/10000, precision: 82.11000
  Target test, epoch: 00057, sec: 6, loss: 1.61560, accuracy: 8222/10000, precision: 82.22000
  Target test, epoch: 00058, sec: 6, loss: 1.62289, accuracy: 8225/10000, precision: 82.25000
  Target test, epoch: 00059, sec: 6, loss: 1.60563, accuracy: 8231/10000, precision: 82.31000
  Target test, epoch: 00060, sec: 6, loss: 1.59170, accuracy: 8243/10000, precision: 82.43000
  Target test, epoch: 00061, sec: 6, loss: 1.58456, accuracy: 8249/10000, precision: 82.49000
  Target test, epoch: 00062, sec: 6, loss: 1.57336, accuracy: 8251/10000, precision: 82.51000
  Target test, epoch: 00063, sec: 6, loss: 1.56876, accuracy: 8254/10000, precision: 82.54000
  Target test, epoch: 00064, sec: 6, loss: 1.56852, accuracy: 8256/10000, precision: 82.56000
  Target test, epoch: 00065, sec: 6, loss: 1.56059, accuracy: 8260/10000, precision: 82.60000
  Target test, epoch: 00066, sec: 6, loss: 1.56208, accuracy: 8264/10000, precision: 82.64000
  Target test, epoch: 00067, sec: 6, loss: 1.56046, accuracy: 8271/10000, precision: 82.71000
  Target test, epoch: 00068, sec: 6, loss: 1.56257, accuracy: 8271/10000, precision: 82.71000
  Target test, epoch: 00069, sec: 6, loss: 1.56494, accuracy: 8266/10000, precision: 82.66000
  Target test, epoch: 00070, sec: 6, loss: 1.56719, accuracy: 8269/10000, precision: 82.69000
  Target test, epoch: 00071, sec: 40, loss: 1.56905, accuracy: 8274/10000, precision: 82.74000
