  Target test, epoch: 00001, sec: 6, loss: 2.30867, accuracy: 1014/10000, precision: 10.14000
  Target test, epoch: 00002, sec: 6, loss: 1.28429, accuracy: 7032/10000, precision: 70.32000
  Target test, epoch: 00003, sec: 6, loss: 1.37199, accuracy: 7251/10000, precision: 72.51000
  Target test, epoch: 00004, sec: 6, loss: 1.90022, accuracy: 6704/10000, precision: 67.04000
  Target test, epoch: 00005, sec: 6, loss: 1.61916, accuracy: 7312/10000, precision: 73.12000
  Target test, epoch: 00006, sec: 6, loss: 1.26319, accuracy: 7518/10000, precision: 75.18000
  Target test, epoch: 00007, sec: 6, loss: 1.28998, accuracy: 7911/10000, precision: 79.11000
  Target test, epoch: 00008, sec: 6, loss: 0.94579, accuracy: 8336/10000, precision: 83.36000
  Target test, epoch: 00009, sec: 6, loss: 1.07631, accuracy: 8245/10000, precision: 82.45000
  Target test, epoch: 00010, sec: 6, loss: 1.06659, accuracy: 8253/10000, precision: 82.53000
  Target test, epoch: 00011, sec: 6, loss: 1.14384, accuracy: 8314/10000, precision: 83.14000
  Target test, epoch: 00012, sec: 5, loss: 0.94045, accuracy: 8372/10000, precision: 83.72000
  Target test, epoch: 00013, sec: 5, loss: 0.98835, accuracy: 8396/10000, precision: 83.96000
  Target test, epoch: 00014, sec: 6, loss: 1.05280, accuracy: 8283/10000, precision: 82.83000
  Target test, epoch: 00015, sec: 6, loss: 1.00984, accuracy: 8244/10000, precision: 82.44000
  Target test, epoch: 00016, sec: 6, loss: 1.04295, accuracy: 8260/10000, precision: 82.60000
  Target test, epoch: 00017, sec: 6, loss: 0.99418, accuracy: 8376/10000, precision: 83.76000
  Target test, epoch: 00018, sec: 6, loss: 1.06557, accuracy: 8243/10000, precision: 82.43000
  Target test, epoch: 00019, sec: 6, loss: 1.08633, accuracy: 8203/10000, precision: 82.03000
  Target test, epoch: 00020, sec: 6, loss: 1.02925, accuracy: 8236/10000, precision: 82.36000
  Target test, epoch: 00021, sec: 6, loss: 1.00929, accuracy: 8167/10000, precision: 81.67000
  Target test, epoch: 00022, sec: 6, loss: 0.98117, accuracy: 8170/10000, precision: 81.70000
  Target test, epoch: 00023, sec: 5, loss: 0.87477, accuracy: 8236/10000, precision: 82.36000
  Target test, epoch: 00024, sec: 6, loss: 0.83682, accuracy: 8246/10000, precision: 82.46000
  Target test, epoch: 00025, sec: 6, loss: 0.81446, accuracy: 8281/10000, precision: 82.81000
  Target test, epoch: 00026, sec: 6, loss: 0.78899, accuracy: 8362/10000, precision: 83.62000
  Target test, epoch: 00027, sec: 6, loss: 0.82750, accuracy: 8344/10000, precision: 83.44000
  Target test, epoch: 00028, sec: 6, loss: 0.79915, accuracy: 8381/10000, precision: 83.81000
  Target test, epoch: 00029, sec: 6, loss: 0.88535, accuracy: 8327/10000, precision: 83.27000
  Target test, epoch: 00030, sec: 6, loss: 0.84972, accuracy: 8397/10000, precision: 83.97000
  Target test, epoch: 00031, sec: 6, loss: 0.84755, accuracy: 8406/10000, precision: 84.06000
  Target test, epoch: 00032, sec: 6, loss: 0.80533, accuracy: 8466/10000, precision: 84.66000
  Target test, epoch: 00033, sec: 6, loss: 0.82359, accuracy: 8449/10000, precision: 84.49000
  Target test, epoch: 00034, sec: 6, loss: 0.84249, accuracy: 8417/10000, precision: 84.17000
  Target test, epoch: 00035, sec: 6, loss: 0.82777, accuracy: 8426/10000, precision: 84.26000
  Target test, epoch: 00036, sec: 6, loss: 0.82135, accuracy: 8415/10000, precision: 84.15000
  Target test, epoch: 00037, sec: 6, loss: 0.81228, accuracy: 8406/10000, precision: 84.06000
  Target test, epoch: 00038, sec: 6, loss: 0.78602, accuracy: 8436/10000, precision: 84.36000
  Target test, epoch: 00039, sec: 6, loss: 0.80719, accuracy: 8412/10000, precision: 84.12000
  Target test, epoch: 00040, sec: 6, loss: 0.79144, accuracy: 8424/10000, precision: 84.24000
  Target test, epoch: 00041, sec: 5, loss: 0.78805, accuracy: 8421/10000, precision: 84.21000
  Target test, epoch: 00042, sec: 4, loss: 0.79662, accuracy: 8410/10000, precision: 84.10000
  Target test, epoch: 00043, sec: 4, loss: 0.78794, accuracy: 8430/10000, precision: 84.30000
  Target test, epoch: 00044, sec: 4, loss: 0.80531, accuracy: 8429/10000, precision: 84.29000
  Target test, epoch: 00045, sec: 5, loss: 0.82297, accuracy: 8399/10000, precision: 83.99000
  Target test, epoch: 00046, sec: 6, loss: 0.84480, accuracy: 8380/10000, precision: 83.80000
  Target test, epoch: 00047, sec: 6, loss: 0.84272, accuracy: 8417/10000, precision: 84.17000
  Target test, epoch: 00048, sec: 5, loss: 0.85647, accuracy: 8404/10000, precision: 84.04000
  Target test, epoch: 00049, sec: 6, loss: 0.85996, accuracy: 8406/10000, precision: 84.06000
  Target test, epoch: 00050, sec: 6, loss: 0.86666, accuracy: 8397/10000, precision: 83.97000
  Target test, epoch: 00051, sec: 6, loss: 0.85790, accuracy: 8410/10000, precision: 84.10000
  Target test, epoch: 00052, sec: 6, loss: 0.85346, accuracy: 8420/10000, precision: 84.20000
  Target test, epoch: 00053, sec: 6, loss: 0.84965, accuracy: 8423/10000, precision: 84.23000
  Target test, epoch: 00054, sec: 6, loss: 0.85480, accuracy: 8411/10000, precision: 84.11000
  Target test, epoch: 00055, sec: 6, loss: 0.86120, accuracy: 8397/10000, precision: 83.97000
  Target test, epoch: 00056, sec: 6, loss: 0.86752, accuracy: 8400/10000, precision: 84.00000
  Target test, epoch: 00057, sec: 6, loss: 0.87562, accuracy: 8395/10000, precision: 83.95000
  Target test, epoch: 00058, sec: 6, loss: 0.87742, accuracy: 8394/10000, precision: 83.94000
  Target test, epoch: 00059, sec: 6, loss: 0.88009, accuracy: 8391/10000, precision: 83.91000
  Target test, epoch: 00060, sec: 6, loss: 0.87157, accuracy: 8404/10000, precision: 84.04000
  Target test, epoch: 00061, sec: 6, loss: 0.87014, accuracy: 8410/10000, precision: 84.10000
  Target test, epoch: 00062, sec: 6, loss: 0.87649, accuracy: 8412/10000, precision: 84.12000
  Target test, epoch: 00063, sec: 4, loss: 0.88190, accuracy: 8405/10000, precision: 84.05000
  Target test, epoch: 00064, sec: 4, loss: 0.88016, accuracy: 8409/10000, precision: 84.09000
  Target test, epoch: 00065, sec: 4, loss: 0.87805, accuracy: 8413/10000, precision: 84.13000
  Target test, epoch: 00066, sec: 4, loss: 0.88182, accuracy: 8409/10000, precision: 84.09000
  Target test, epoch: 00067, sec: 5, loss: 0.88216, accuracy: 8412/10000, precision: 84.12000
  Target test, epoch: 00068, sec: 5, loss: 0.88172, accuracy: 8412/10000, precision: 84.12000
  Target test, epoch: 00069, sec: 4, loss: 0.87930, accuracy: 8412/10000, precision: 84.12000
  Target test, epoch: 00070, sec: 4, loss: 0.87966, accuracy: 8416/10000, precision: 84.16000
  Target test, epoch: 00071, sec: 16, loss: 0.88204, accuracy: 8413/10000, precision: 84.13000
