0.08285119185373756,0.06965980097199723,0.05068271233510761,0.045591298310576255,0.04512844249016432,0.12867391807451978,0.15366813237676463,0.14927100208285118,0.1254339273316362,0.1490395741726452
0.09871666666666666,0.11236666666666667,0.0993,0.10218333333333333,0.09736666666666667,0.09035,0.09863333333333334,0.10441666666666667,0.09751666666666667,0.09915
0.098,0.1135,0.1032,0.101,0.0982,0.0892,0.0958,0.1028,0.0974,0.1009
  Target test, iter: 00001, sec: 23, loss: 2.30867, accuracy: 1014/10000, precision: 10.14000
  Target test, iter: 00002, sec: 23, loss: 1.22341, accuracy: 6676/10000, precision: 66.76000
  Target test, iter: 00003, sec: 23, loss: 0.48939, accuracy: 8729/10000, precision: 87.29000
  Target test, iter: 00004, sec: 23, loss: 0.75223, accuracy: 8908/10000, precision: 89.08000
  Target test, iter: 00005, sec: 23, loss: 0.85330, accuracy: 9022/10000, precision: 90.22000
  Target test, iter: 00006, sec: 23, loss: 0.83324, accuracy: 9096/10000, precision: 90.96000
  Target test, iter: 00007, sec: 23, loss: 0.92349, accuracy: 9119/10000, precision: 91.19000
  Target test, iter: 00008, sec: 23, loss: 0.97567, accuracy: 9137/10000, precision: 91.37000
  Target test, iter: 00009, sec: 23, loss: 0.99241, accuracy: 9064/10000, precision: 90.64000
  Target test, iter: 00010, sec: 23, loss: 0.93684, accuracy: 9167/10000, precision: 91.67000
  Target test, iter: 00011, sec: 23, loss: 0.91071, accuracy: 9161/10000, precision: 91.61000
  Target test, iter: 00012, sec: 23, loss: 0.93902, accuracy: 9164/10000, precision: 91.64000
  Target test, iter: 00013, sec: 22, loss: 0.85443, accuracy: 9174/10000, precision: 91.74000
  Target test, iter: 00014, sec: 23, loss: 0.85036, accuracy: 9145/10000, precision: 91.45000
  Target test, iter: 00015, sec: 23, loss: 0.94528, accuracy: 9140/10000, precision: 91.40000
  Target test, iter: 00016, sec: 22, loss: 0.92465, accuracy: 9097/10000, precision: 90.97000
  Target test, iter: 00017, sec: 23, loss: 0.90774, accuracy: 9152/10000, precision: 91.52000
