0.08285119185373756,0.06965980097199723,0.05068271233510761,0.045591298310576255,0.04512844249016432,0.12867391807451978,0.15366813237676463,0.14927100208285118,0.1254339273316362,0.1490395741726452
0.09871666666666666,0.11236666666666667,0.0993,0.10218333333333333,0.09736666666666667,0.09035,0.09863333333333334,0.10441666666666667,0.09751666666666667,0.09915
0.098,0.1135,0.1032,0.101,0.0982,0.0892,0.0958,0.1028,0.0974,0.1009
  Target test, epoch: 00001, sec: 7, loss: 2.30867, accuracy: 1014/10000, precision: 10.14000
  Target test, epoch: 00002, sec: 6, loss: 1.51672, accuracy: 6156/10000, precision: 61.56000
  Target test, epoch: 00003, sec: 7, loss: 0.76393, accuracy: 8328/10000, precision: 83.28000
  Target test, epoch: 00004, sec: 6, loss: 0.65530, accuracy: 8583/10000, precision: 85.83000
  Target test, epoch: 00005, sec: 6, loss: 0.62499, accuracy: 8829/10000, precision: 88.29000
  Target test, epoch: 00006, sec: 7, loss: 0.49455, accuracy: 9063/10000, precision: 90.63000
  Target test, epoch: 00007, sec: 7, loss: 0.51308, accuracy: 9140/10000, precision: 91.40000
  Target test, epoch: 00008, sec: 7, loss: 0.65654, accuracy: 9053/10000, precision: 90.53000
  Target test, epoch: 00009, sec: 7, loss: 0.58771, accuracy: 9132/10000, precision: 91.32000
  Target test, epoch: 00010, sec: 7, loss: 0.64214, accuracy: 9156/10000, precision: 91.56000
  Target test, epoch: 00011, sec: 7, loss: 0.57370, accuracy: 9158/10000, precision: 91.58000
  Target test, epoch: 00012, sec: 7, loss: 0.60858, accuracy: 9224/10000, precision: 92.24000
  Target test, epoch: 00013, sec: 7, loss: 0.63074, accuracy: 9232/10000, precision: 92.32000
  Target test, epoch: 00014, sec: 7, loss: 0.70881, accuracy: 9181/10000, precision: 91.81000
  Target test, epoch: 00015, sec: 7, loss: 0.61593, accuracy: 9225/10000, precision: 92.25000
  Target test, epoch: 00016, sec: 7, loss: 0.62618, accuracy: 9226/10000, precision: 92.26000
  Target test, epoch: 00017, sec: 7, loss: 0.57936, accuracy: 9256/10000, precision: 92.56000
  Target test, epoch: 00018, sec: 7, loss: 0.60196, accuracy: 9213/10000, precision: 92.13000
  Target test, epoch: 00019, sec: 7, loss: 0.64635, accuracy: 9208/10000, precision: 92.08000
  Target test, epoch: 00020, sec: 7, loss: 0.63703, accuracy: 9235/10000, precision: 92.35000
  Target test, epoch: 00021, sec: 7, loss: 0.61359, accuracy: 9244/10000, precision: 92.44000
  Target test, epoch: 00022, sec: 7, loss: 0.61365, accuracy: 9261/10000, precision: 92.61000
  Target test, epoch: 00023, sec: 7, loss: 0.62301, accuracy: 9255/10000, precision: 92.55000
  Target test, epoch: 00024, sec: 7, loss: 0.62182, accuracy: 9231/10000, precision: 92.31000
  Target test, epoch: 00025, sec: 7, loss: 0.61703, accuracy: 9254/10000, precision: 92.54000
  Target test, epoch: 00026, sec: 7, loss: 0.60793, accuracy: 9266/10000, precision: 92.66000
  Target test, epoch: 00027, sec: 7, loss: 0.61117, accuracy: 9256/10000, precision: 92.56000
  Target test, epoch: 00028, sec: 7, loss: 0.62889, accuracy: 9247/10000, precision: 92.47000
  Target test, epoch: 00029, sec: 7, loss: 0.61962, accuracy: 9264/10000, precision: 92.64000
  Target test, epoch: 00030, sec: 7, loss: 0.62133, accuracy: 9269/10000, precision: 92.69000
  Target test, epoch: 00031, sec: 7, loss: 0.61571, accuracy: 9247/10000, precision: 92.47000
  Target test, epoch: 00032, sec: 6, loss: 0.63013, accuracy: 9249/10000, precision: 92.49000
  Target test, epoch: 00033, sec: 6, loss: 0.61845, accuracy: 9257/10000, precision: 92.57000
  Target test, epoch: 00034, sec: 6, loss: 0.65638, accuracy: 9247/10000, precision: 92.47000
  Target test, epoch: 00035, sec: 7, loss: 0.62317, accuracy: 9252/10000, precision: 92.52000
  Target test, epoch: 00036, sec: 7, loss: 0.64817, accuracy: 9248/10000, precision: 92.48000
  Target test, epoch: 00037, sec: 7, loss: 0.64040, accuracy: 9249/10000, precision: 92.49000
