  Target test, epoch: 00001, sec: 7, loss: 2.30867, accuracy: 1014/10000, precision: 10.14000
  Target test, epoch: 00002, sec: 7, loss: 1.15617, accuracy: 6712/10000, precision: 67.12000
  Target test, epoch: 00003, sec: 9, loss: 0.76988, accuracy: 7986/10000, precision: 79.86000
  Target test, epoch: 00004, sec: 9, loss: 0.91026, accuracy: 8040/10000, precision: 80.40000
  Target test, epoch: 00005, sec: 9, loss: 1.03957, accuracy: 7829/10000, precision: 78.29000
  Target test, epoch: 00006, sec: 9, loss: 1.06678, accuracy: 7850/10000, precision: 78.50000
  Target test, epoch: 00007, sec: 9, loss: 0.88158, accuracy: 8192/10000, precision: 81.92000
  Target test, epoch: 00008, sec: 9, loss: 0.85908, accuracy: 8274/10000, precision: 82.74000
  Target test, epoch: 00009, sec: 9, loss: 0.86523, accuracy: 8341/10000, precision: 83.41000
  Target test, epoch: 00010, sec: 9, loss: 0.92237, accuracy: 8203/10000, precision: 82.03000
  Target test, epoch: 00011, sec: 9, loss: 0.76598, accuracy: 8516/10000, precision: 85.16000
  Target test, epoch: 00012, sec: 9, loss: 0.75973, accuracy: 8414/10000, precision: 84.14000
  Target test, epoch: 00013, sec: 9, loss: 0.66390, accuracy: 8712/10000, precision: 87.12000
  Target test, epoch: 00014, sec: 9, loss: 0.73738, accuracy: 8614/10000, precision: 86.14000
  Target test, epoch: 00015, sec: 9, loss: 0.66126, accuracy: 8738/10000, precision: 87.38000
  Target test, epoch: 00016, sec: 9, loss: 0.60987, accuracy: 8912/10000, precision: 89.12000
  Target test, epoch: 00017, sec: 9, loss: 0.65682, accuracy: 8801/10000, precision: 88.01000
  Target test, epoch: 00018, sec: 9, loss: 0.71731, accuracy: 8793/10000, precision: 87.93000
  Target test, epoch: 00019, sec: 9, loss: 0.81337, accuracy: 8610/10000, precision: 86.10000
  Target test, epoch: 00020, sec: 9, loss: 0.92130, accuracy: 8453/10000, precision: 84.53000
  Target test, epoch: 00021, sec: 9, loss: 0.73033, accuracy: 8751/10000, precision: 87.51000
  Target test, epoch: 00022, sec: 9, loss: 1.03460, accuracy: 8410/10000, precision: 84.10000
  Target test, epoch: 00023, sec: 9, loss: 0.79053, accuracy: 8792/10000, precision: 87.92000
  Target test, epoch: 00024, sec: 9, loss: 0.77284, accuracy: 8753/10000, precision: 87.53000
  Target test, epoch: 00025, sec: 9, loss: 0.77901, accuracy: 8831/10000, precision: 88.31000
  Target test, epoch: 00026, sec: 9, loss: 0.68784, accuracy: 8866/10000, precision: 88.66000
  Target test, epoch: 00027, sec: 9, loss: 0.66728, accuracy: 8962/10000, precision: 89.62000
  Target test, epoch: 00028, sec: 9, loss: 0.70859, accuracy: 8910/10000, precision: 89.10000
  Target test, epoch: 00029, sec: 8, loss: 0.71680, accuracy: 8928/10000, precision: 89.28000
  Target test, epoch: 00030, sec: 9, loss: 0.70046, accuracy: 8910/10000, precision: 89.10000
  Target test, epoch: 00031, sec: 9, loss: 0.71955, accuracy: 8986/10000, precision: 89.86000
  Target test, epoch: 00032, sec: 9, loss: 0.70813, accuracy: 8979/10000, precision: 89.79000
  Target test, epoch: 00033, sec: 9, loss: 0.71545, accuracy: 9009/10000, precision: 90.09000
  Target test, epoch: 00034, sec: 9, loss: 0.81387, accuracy: 8905/10000, precision: 89.05000
  Target test, epoch: 00035, sec: 9, loss: 0.82428, accuracy: 8846/10000, precision: 88.46000
  Target test, epoch: 00036, sec: 9, loss: 0.76920, accuracy: 8922/10000, precision: 89.22000
  Target test, epoch: 00037, sec: 9, loss: 0.83012, accuracy: 8883/10000, precision: 88.83000
  Target test, epoch: 00038, sec: 9, loss: 0.76739, accuracy: 8988/10000, precision: 89.88000
  Target test, epoch: 00039, sec: 9, loss: 0.79332, accuracy: 8878/10000, precision: 88.78000
  Target test, epoch: 00040, sec: 9, loss: 0.79198, accuracy: 8903/10000, precision: 89.03000
  Target test, epoch: 00041, sec: 9, loss: 0.76067, accuracy: 8907/10000, precision: 89.07000
  Target test, epoch: 00042, sec: 9, loss: 0.74311, accuracy: 8959/10000, precision: 89.59000
  Target test, epoch: 00043, sec: 9, loss: 0.77241, accuracy: 8927/10000, precision: 89.27000
  Target test, epoch: 00044, sec: 9, loss: 0.74248, accuracy: 8965/10000, precision: 89.65000
  Target test, epoch: 00045, sec: 9, loss: 0.72876, accuracy: 8978/10000, precision: 89.78000
  Target test, epoch: 00046, sec: 9, loss: 0.78234, accuracy: 8930/10000, precision: 89.30000
  Target test, epoch: 00047, sec: 9, loss: 0.73898, accuracy: 8967/10000, precision: 89.67000
  Target test, epoch: 00048, sec: 9, loss: 0.77720, accuracy: 8918/10000, precision: 89.18000
  Target test, epoch: 00049, sec: 9, loss: 0.76829, accuracy: 8918/10000, precision: 89.18000
  Target test, epoch: 00050, sec: 9, loss: 0.75457, accuracy: 8944/10000, precision: 89.44000
  Target test, epoch: 00051, sec: 9, loss: 0.76173, accuracy: 8949/10000, precision: 89.49000
  Target test, epoch: 00052, sec: 9, loss: 0.77803, accuracy: 8937/10000, precision: 89.37000
  Target test, epoch: 00053, sec: 8, loss: 0.76388, accuracy: 8944/10000, precision: 89.44000
  Target test, epoch: 00054, sec: 9, loss: 0.73752, accuracy: 8976/10000, precision: 89.76000
  Target test, epoch: 00055, sec: 9, loss: 0.74052, accuracy: 8972/10000, precision: 89.72000
  Target test, epoch: 00056, sec: 9, loss: 0.72403, accuracy: 8969/10000, precision: 89.69000
