  Target test, epoch: 00001, sec: 7, loss: 2.30867, accuracy: 1014/10000, precision: 10.14000
  Target test, epoch: 00002, sec: 6, loss: 1.40927, accuracy: 6370/10000, precision: 63.70000
  Target test, epoch: 00003, sec: 6, loss: 0.89731, accuracy: 7757/10000, precision: 77.57000
  Target test, epoch: 00004, sec: 6, loss: 0.90383, accuracy: 7769/10000, precision: 77.69000
  Target test, epoch: 00005, sec: 6, loss: 1.29712, accuracy: 7319/10000, precision: 73.19000
  Target test, epoch: 00006, sec: 6, loss: 1.13430, accuracy: 7483/10000, precision: 74.83000
  Target test, epoch: 00007, sec: 7, loss: 1.14979, accuracy: 7644/10000, precision: 76.44000
  Target test, epoch: 00008, sec: 7, loss: 1.22942, accuracy: 7647/10000, precision: 76.47000
  Target test, epoch: 00009, sec: 6, loss: 1.03694, accuracy: 7800/10000, precision: 78.00000
  Target test, epoch: 00010, sec: 7, loss: 0.97033, accuracy: 7847/10000, precision: 78.47000
  Target test, epoch: 00011, sec: 7, loss: 0.97488, accuracy: 7979/10000, precision: 79.79000
  Target test, epoch: 00012, sec: 6, loss: 1.05113, accuracy: 7871/10000, precision: 78.71000
  Target test, epoch: 00013, sec: 6, loss: 0.87319, accuracy: 8210/10000, precision: 82.10000
  Target test, epoch: 00014, sec: 7, loss: 0.86149, accuracy: 8103/10000, precision: 81.03000
  Target test, epoch: 00015, sec: 7, loss: 0.86785, accuracy: 8120/10000, precision: 81.20000
  Target test, epoch: 00016, sec: 6, loss: 0.73238, accuracy: 8351/10000, precision: 83.51000
  Target test, epoch: 00017, sec: 7, loss: 0.81345, accuracy: 8378/10000, precision: 83.78000
  Target test, epoch: 00018, sec: 7, loss: 0.81215, accuracy: 8302/10000, precision: 83.02000
  Target test, epoch: 00019, sec: 7, loss: 0.98395, accuracy: 8196/10000, precision: 81.96000
  Target test, epoch: 00020, sec: 6, loss: 1.00542, accuracy: 8226/10000, precision: 82.26000
  Target test, epoch: 00021, sec: 7, loss: 0.80597, accuracy: 8425/10000, precision: 84.25000
  Target test, epoch: 00022, sec: 7, loss: 0.85265, accuracy: 8469/10000, precision: 84.69000
  Target test, epoch: 00023, sec: 7, loss: 0.91059, accuracy: 8522/10000, precision: 85.22000
  Target test, epoch: 00024, sec: 7, loss: 0.89941, accuracy: 8369/10000, precision: 83.69000
  Target test, epoch: 00025, sec: 7, loss: 0.91512, accuracy: 8531/10000, precision: 85.31000
  Target test, epoch: 00026, sec: 7, loss: 0.80443, accuracy: 8579/10000, precision: 85.79000
  Target test, epoch: 00027, sec: 9, loss: 0.78037, accuracy: 8663/10000, precision: 86.63000
  Target test, epoch: 00028, sec: 6, loss: 0.80390, accuracy: 8606/10000, precision: 86.06000
  Target test, epoch: 00029, sec: 6, loss: 0.96613, accuracy: 8538/10000, precision: 85.38000
  Target test, epoch: 00030, sec: 6, loss: 0.90968, accuracy: 8596/10000, precision: 85.96000
  Target test, epoch: 00031, sec: 6, loss: 0.89235, accuracy: 8585/10000, precision: 85.85000
  Target test, epoch: 00032, sec: 7, loss: 0.78198, accuracy: 8683/10000, precision: 86.83000
  Target test, epoch: 00033, sec: 7, loss: 0.95156, accuracy: 8599/10000, precision: 85.99000
  Target test, epoch: 00034, sec: 7, loss: 0.87803, accuracy: 8740/10000, precision: 87.40000
  Target test, epoch: 00035, sec: 7, loss: 1.01055, accuracy: 8524/10000, precision: 85.24000
  Target test, epoch: 00036, sec: 9, loss: 0.84122, accuracy: 8659/10000, precision: 86.59000
  Target test, epoch: 00037, sec: 9, loss: 0.85942, accuracy: 8688/10000, precision: 86.88000
  Target test, epoch: 00038, sec: 9, loss: 0.89873, accuracy: 8672/10000, precision: 86.72000
  Target test, epoch: 00039, sec: 9, loss: 0.82543, accuracy: 8722/10000, precision: 87.22000
  Target test, epoch: 00040, sec: 9, loss: 0.83954, accuracy: 8710/10000, precision: 87.10000
  Target test, epoch: 00041, sec: 9, loss: 0.94747, accuracy: 8622/10000, precision: 86.22000
  Target test, epoch: 00042, sec: 9, loss: 1.01435, accuracy: 8504/10000, precision: 85.04000
  Target test, epoch: 00043, sec: 9, loss: 0.92592, accuracy: 8668/10000, precision: 86.68000
  Target test, epoch: 00044, sec: 9, loss: 0.91635, accuracy: 8705/10000, precision: 87.05000
  Target test, epoch: 00045, sec: 9, loss: 0.96647, accuracy: 8656/10000, precision: 86.56000
  Target test, epoch: 00046, sec: 9, loss: 1.00914, accuracy: 8595/10000, precision: 85.95000
  Target test, epoch: 00047, sec: 9, loss: 0.94310, accuracy: 8677/10000, precision: 86.77000
  Target test, epoch: 00048, sec: 8, loss: 0.97129, accuracy: 8690/10000, precision: 86.90000
  Target test, epoch: 00049, sec: 9, loss: 0.97678, accuracy: 8672/10000, precision: 86.72000
  Target test, epoch: 00050, sec: 9, loss: 0.96356, accuracy: 8672/10000, precision: 86.72000
  Target test, epoch: 00051, sec: 9, loss: 0.96444, accuracy: 8677/10000, precision: 86.77000
  Target test, epoch: 00052, sec: 9, loss: 0.94503, accuracy: 8699/10000, precision: 86.99000
  Target test, epoch: 00053, sec: 8, loss: 0.94531, accuracy: 8693/10000, precision: 86.93000
  Target test, epoch: 00054, sec: 9, loss: 0.93880, accuracy: 8700/10000, precision: 87.00000
  Target test, epoch: 00055, sec: 9, loss: 0.92910, accuracy: 8712/10000, precision: 87.12000
  Target test, epoch: 00056, sec: 9, loss: 0.94885, accuracy: 8686/10000, precision: 86.86000
  Target test, epoch: 00057, sec: 9, loss: 0.92129, accuracy: 8707/10000, precision: 87.07000
  Target test, epoch: 00058, sec: 8, loss: 0.93597, accuracy: 8690/10000, precision: 86.90000
  Target test, epoch: 00059, sec: 9, loss: 0.92846, accuracy: 8699/10000, precision: 86.99000
  Target test, epoch: 00060, sec: 9, loss: 0.95098, accuracy: 8666/10000, precision: 86.66000
  Target test, epoch: 00061, sec: 9, loss: 0.94247, accuracy: 8684/10000, precision: 86.84000
  Target test, epoch: 00062, sec: 9, loss: 0.93701, accuracy: 8696/10000, precision: 86.96000
  Target test, epoch: 00063, sec: 9, loss: 0.93004, accuracy: 8701/10000, precision: 87.01000
  Target test, epoch: 00064, sec: 9, loss: 0.92708, accuracy: 8699/10000, precision: 86.99000
  Target test, epoch: 00065, sec: 9, loss: 0.92631, accuracy: 8700/10000, precision: 87.00000
  Target test, epoch: 00066, sec: 9, loss: 0.92451, accuracy: 8706/10000, precision: 87.06000
  Target test, epoch: 00067, sec: 9, loss: 0.92213, accuracy: 8699/10000, precision: 86.99000
  Target test, epoch: 00068, sec: 9, loss: 0.92558, accuracy: 8697/10000, precision: 86.97000
  Target test, epoch: 00069, sec: 9, loss: 0.92622, accuracy: 8697/10000, precision: 86.97000
  Target test, epoch: 00070, sec: 8, loss: 0.93191, accuracy: 8685/10000, precision: 86.85000
  Target test, epoch: 00071, sec: 29, loss: 0.92229, accuracy: 8697/10000, precision: 86.97000
