0.08285119185373756,0.06965980097199723,0.05068271233510761,0.045591298310576255,0.04512844249016432,0.12867391807451978,0.15366813237676463,0.14927100208285118,0.1254339273316362,0.1490395741726452
0.09871666666666666,0.11236666666666667,0.0993,0.10218333333333333,0.09736666666666667,0.09035,0.09863333333333334,0.10441666666666667,0.09751666666666667,0.09915
0.098,0.1135,0.1032,0.101,0.0982,0.0892,0.0958,0.1028,0.0974,0.1009
  Target test, epoch: 00001, sec: 7, loss: 2.30867, accuracy: 1014/10000, precision: 10.14000
  Target test, epoch: 00002, sec: 7, loss: 1.14363, accuracy: 6677/10000, precision: 66.77000
  Target test, epoch: 00003, sec: 7, loss: 2.31759, accuracy: 980/10000, precision: 9.80000
  Target test, epoch: 00004, sec: 7, loss: 2.31426, accuracy: 980/10000, precision: 9.80000
  Target test, epoch: 00005, sec: 7, loss: 2.32254, accuracy: 892/10000, precision: 8.92000
  Target test, epoch: 00006, sec: 7, loss: 2.30863, accuracy: 974/10000, precision: 9.74000
  Target test, epoch: 00007, sec: 7, loss: 2.30792, accuracy: 982/10000, precision: 9.82000
  Target test, epoch: 00008, sec: 7, loss: 2.30782, accuracy: 1010/10000, precision: 10.10000
  Target test, epoch: 00009, sec: 7, loss: 2.30562, accuracy: 1032/10000, precision: 10.32000
  Target test, epoch: 00010, sec: 7, loss: 2.30404, accuracy: 982/10000, precision: 9.82000
  Target test, epoch: 00011, sec: 7, loss: 2.30727, accuracy: 1010/10000, precision: 10.10000
  Target test, epoch: 00012, sec: 7, loss: 2.30487, accuracy: 980/10000, precision: 9.80000
  Target test, epoch: 00013, sec: 7, loss: 2.30664, accuracy: 982/10000, precision: 9.82000
  Target test, epoch: 00014, sec: 7, loss: 2.30673, accuracy: 982/10000, precision: 9.82000
  Target test, epoch: 00015, sec: 7, loss: 2.30401, accuracy: 980/10000, precision: 9.80000
